reviewer_id	target	comparison	auc_delta	best_f1_delta	full_auc	variant_auc	full_best_f1	variant_best_f1
reviewer_1	decision_change_yes	ceis_binary_atom_vs_ceis_full	0.000572	0.0	0.717039	0.717611	0.393443	0.393443
reviewer_1	decision_change_yes	ceis_full_top3_mean_vs_ceis_full	0.00055	0.0	0.717039	0.717589	0.393443	0.393443
reviewer_1	decision_change_yes	ceis_without_atom_weights_vs_ceis_full	0.0	0.0	0.717039	0.717039	0.393443	0.393443
reviewer_1	decision_change_yes	ceis_without_plausibility_vs_ceis_full	0.0	0.0	0.717039	0.717039	0.393443	0.393443
reviewer_1	decision_change_yes_or_uncertain	ceis_binary_atom_vs_ceis_full	3.3e-05	0.0	0.687828	0.687861	0.4	0.4
reviewer_1	decision_change_yes_or_uncertain	ceis_full_top3_mean_vs_ceis_full	0.000165	0.0	0.687828	0.687993	0.4	0.4
reviewer_1	decision_change_yes_or_uncertain	ceis_without_atom_weights_vs_ceis_full	0.0	0.0	0.687828	0.687828	0.4	0.4
reviewer_1	decision_change_yes_or_uncertain	ceis_without_plausibility_vs_ceis_full	0.0	0.0	0.687828	0.687828	0.4	0.4
reviewer_2	decision_change_yes	ceis_binary_atom_vs_ceis_full	0.000572	0.0	0.717039	0.717611	0.393443	0.393443
reviewer_2	decision_change_yes	ceis_full_top3_mean_vs_ceis_full	0.00055	0.0	0.717039	0.717589	0.393443	0.393443
reviewer_2	decision_change_yes	ceis_without_atom_weights_vs_ceis_full	0.0	0.0	0.717039	0.717039	0.393443	0.393443
reviewer_2	decision_change_yes	ceis_without_plausibility_vs_ceis_full	0.0	0.0	0.717039	0.717039	0.393443	0.393443
reviewer_2	decision_change_yes_or_uncertain	ceis_binary_atom_vs_ceis_full	0.000551	0.0	0.708498	0.709049	0.387097	0.387097
reviewer_2	decision_change_yes_or_uncertain	ceis_full_top3_mean_vs_ceis_full	0.00053	0.0	0.708498	0.709028	0.387097	0.387097
reviewer_2	decision_change_yes_or_uncertain	ceis_without_atom_weights_vs_ceis_full	0.0	0.0	0.708498	0.708498	0.387097	0.387097
reviewer_2	decision_change_yes_or_uncertain	ceis_without_plausibility_vs_ceis_full	0.0	0.0	0.708498	0.708498	0.387097	0.387097
