reviewer_id	target	ablation_variant	reviewed_model_assessments	positive_count	positive_rate	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
reviewer_1	decision_change_yes	ceis_full	900	26	0.028889	0.717039	5.0	0.393443	0.342857	0.461538	12	23	14
reviewer_1	decision_change_yes	ceis_without_atom_weights	900	26	0.028889	0.717039	1.0	0.393443	0.342857	0.461538	12	23	14
reviewer_1	decision_change_yes	ceis_without_plausibility	900	26	0.028889	0.717039	5.0	0.393443	0.342857	0.461538	12	23	14
reviewer_1	decision_change_yes	ceis_binary_atom	900	26	0.028889	0.717611	1.0	0.393443	0.342857	0.461538	12	23	14
reviewer_1	decision_change_yes	ceis_policy_distance_only	900	26	0.028889	0.717039	1.0	0.393443	0.342857	0.461538	12	23	14
reviewer_1	decision_change_yes	ceis_full_top3_mean	900	26	0.028889	0.717589	4.666667	0.393443	0.342857	0.461538	12	23	14
reviewer_1	decision_change_yes_or_uncertain	ceis_full	900	35	0.038889	0.687828	5.0	0.4	0.4	0.4	14	21	21
reviewer_1	decision_change_yes_or_uncertain	ceis_without_atom_weights	900	35	0.038889	0.687828	1.0	0.4	0.4	0.4	14	21	21
reviewer_1	decision_change_yes_or_uncertain	ceis_without_plausibility	900	35	0.038889	0.687828	5.0	0.4	0.4	0.4	14	21	21
reviewer_1	decision_change_yes_or_uncertain	ceis_binary_atom	900	35	0.038889	0.687861	1.0	0.4	0.4	0.4	14	21	21
reviewer_1	decision_change_yes_or_uncertain	ceis_policy_distance_only	900	35	0.038889	0.687828	1.0	0.4	0.4	0.4	14	21	21
reviewer_1	decision_change_yes_or_uncertain	ceis_full_top3_mean	900	35	0.038889	0.687993	4.666667	0.4	0.4	0.4	14	21	21
reviewer_2	decision_change_yes	ceis_full	900	26	0.028889	0.717039	5.0	0.393443	0.342857	0.461538	12	23	14
reviewer_2	decision_change_yes	ceis_without_atom_weights	900	26	0.028889	0.717039	1.0	0.393443	0.342857	0.461538	12	23	14
reviewer_2	decision_change_yes	ceis_without_plausibility	900	26	0.028889	0.717039	5.0	0.393443	0.342857	0.461538	12	23	14
reviewer_2	decision_change_yes	ceis_binary_atom	900	26	0.028889	0.717611	1.0	0.393443	0.342857	0.461538	12	23	14
reviewer_2	decision_change_yes	ceis_policy_distance_only	900	26	0.028889	0.717039	1.0	0.393443	0.342857	0.461538	12	23	14
reviewer_2	decision_change_yes	ceis_full_top3_mean	900	26	0.028889	0.717589	4.666667	0.393443	0.342857	0.461538	12	23	14
reviewer_2	decision_change_yes_or_uncertain	ceis_full	900	27	0.03	0.708498	5.0	0.387097	0.342857	0.444444	12	23	15
reviewer_2	decision_change_yes_or_uncertain	ceis_without_atom_weights	900	27	0.03	0.708498	1.0	0.387097	0.342857	0.444444	12	23	15
reviewer_2	decision_change_yes_or_uncertain	ceis_without_plausibility	900	27	0.03	0.708498	5.0	0.387097	0.342857	0.444444	12	23	15
reviewer_2	decision_change_yes_or_uncertain	ceis_binary_atom	900	27	0.03	0.709049	1.0	0.387097	0.342857	0.444444	12	23	15
reviewer_2	decision_change_yes_or_uncertain	ceis_policy_distance_only	900	27	0.03	0.708498	1.0	0.387097	0.342857	0.444444	12	23	15
reviewer_2	decision_change_yes_or_uncertain	ceis_full_top3_mean	900	27	0.03	0.709028	4.666667	0.387097	0.342857	0.444444	12	23	15
