scope	unit	score_metric	budget_target_rate	budget_denominator_rows	requested_trigger_rows	triggered_rows	observed_budget_rate	row_severe_miss_baseline	row_severe_miss_remaining	row_severe_misses_eliminated	row_unsafe_downrouting_baseline	row_unsafe_downrouting_remaining	row_critical_miss_baseline	row_critical_miss_remaining	triggers_per_severe_miss_eliminated	tie_score_cutoff	tie_boundary_count	tie_best_case_severe_remaining	tie_worst_case_severe_remaining	claim_uses
all	audio_row	sres_total	0.1000	300	30	30	0.1	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
all	audio_row	sres_total	0.2000	300	60	60	0.2	6	0	6	22	0	1	0	10.0	0.0	275	0	0	worst_case_boundary
all	audio_row	sres_total	0.3000	300	90	90	0.3	6	0	6	22	0	1	0	15.0	0.0	275	0	0	worst_case_boundary
all	audio_row	sres_total	0.4000	300	120	120	0.4	6	0	6	22	0	1	0	20.0	0.0	275	0	0	worst_case_boundary
all	audio_row	ceis_max	0.1000	300	30	30	0.1	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
all	audio_row	ceis_max	0.2000	300	60	60	0.2	6	0	6	22	0	1	0	10.0	0.0	275	0	0	worst_case_boundary
all	audio_row	ceis_max	0.3000	300	90	90	0.3	6	0	6	22	0	1	0	15.0	0.0	275	0	0	worst_case_boundary
all	audio_row	ceis_max	0.4000	300	120	120	0.4	6	0	6	22	0	1	0	20.0	0.0	275	0	0	worst_case_boundary
all	audio_row	max_norm_sres_ceis	0.1000	300	30	30	0.1	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
all	audio_row	max_norm_sres_ceis	0.2000	300	60	60	0.2	6	0	6	22	0	1	0	10.0	0.0	275	0	0	worst_case_boundary
all	audio_row	max_norm_sres_ceis	0.3000	300	90	90	0.3	6	0	6	22	0	1	0	15.0	0.0	275	0	0	worst_case_boundary
all	audio_row	max_norm_sres_ceis	0.4000	300	120	120	0.4	6	0	6	22	0	1	0	20.0	0.0	275	0	0	worst_case_boundary
all	audio_row	rank_fusion_sres_ceis	0.1000	300	30	30	0.1	6	0	6	22	0	1	0	5.0	0.947778	1	0	0	worst_case_boundary
all	audio_row	rank_fusion_sres_ceis	0.2000	300	60	60	0.2	6	0	6	22	0	1	0	10.0	0.847778	1	0	0	worst_case_boundary
all	audio_row	rank_fusion_sres_ceis	0.3000	300	90	90	0.3	6	0	6	22	0	1	0	15.0	0.747778	1	0	0	worst_case_boundary
all	audio_row	rank_fusion_sres_ceis	0.4000	300	120	120	0.4	6	0	6	22	0	1	0	20.0	0.647778	1	0	0	worst_case_boundary
all	audio_row	two_stage_sres_then_ceis	0.1000	300	30	30	0.1	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
all	audio_row	two_stage_sres_then_ceis	0.2000	300	60	60	0.2	6	0	6	22	0	1	0	10.0	0.0	275	0	0	worst_case_boundary
all	audio_row	two_stage_sres_then_ceis	0.3000	300	90	90	0.3	6	0	6	22	0	1	0	15.0	0.0	275	0	0	worst_case_boundary
all	audio_row	two_stage_sres_then_ceis	0.4000	300	120	120	0.4	6	0	6	22	0	1	0	20.0	0.0	275	0	0	worst_case_boundary
all	audio_row	variant_count_only	0.1000	300	30	30	0.1	6	5	1	22	16	1	1	30.0	5.0	52	5	6	worst_case_boundary
all	audio_row	variant_count_only	0.2000	300	60	60	0.2	6	2	4	22	8	1	0	15.0	4.0	126	2	5	worst_case_boundary
all	audio_row	variant_count_only	0.3000	300	90	90	0.3	6	2	4	22	6	1	0	22.5	4.0	126	2	5	worst_case_boundary
all	audio_row	variant_count_only	0.4000	300	120	120	0.4	6	2	4	22	6	1	0	30.0	4.0	126	2	5	worst_case_boundary
all	audio_row	ceis_top1_capped	0.1000	300	30	30	0.1	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
all	audio_row	ceis_top1_capped	0.2000	300	60	60	0.2	6	0	6	22	0	1	0	10.0	0.0	275	0	0	worst_case_boundary
all	audio_row	ceis_top1_capped	0.3000	300	90	90	0.3	6	0	6	22	0	1	0	15.0	0.0	275	0	0	worst_case_boundary
all	audio_row	ceis_top1_capped	0.4000	300	120	120	0.4	6	0	6	22	0	1	0	20.0	0.0	275	0	0	worst_case_boundary
