scope	unit	score_metric	budget_target_rate	budget_denominator_rows	requested_trigger_rows	triggered_rows	observed_budget_rate	row_severe_miss_baseline	row_severe_miss_remaining	row_severe_misses_eliminated	row_unsafe_downrouting_baseline	row_unsafe_downrouting_remaining	row_critical_miss_baseline	row_critical_miss_remaining	triggers_per_severe_miss_eliminated	tie_score_cutoff	tie_boundary_count	tie_best_case_severe_remaining	tie_worst_case_severe_remaining	claim_uses
exclude_high_proxy_risk	audio_row	sres_total	0.1000	297	30	30	0.10101	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	sres_total	0.2000	297	59	59	0.198653	6	0	6	22	0	1	0	9.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	sres_total	0.3000	297	89	89	0.299663	6	0	6	22	0	1	0	14.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	sres_total	0.4000	297	119	119	0.400673	6	0	6	22	0	1	0	19.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_max	0.1000	297	30	30	0.10101	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_max	0.2000	297	59	59	0.198653	6	0	6	22	0	1	0	9.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_max	0.3000	297	89	89	0.299663	6	0	6	22	0	1	0	14.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_max	0.4000	297	119	119	0.400673	6	0	6	22	0	1	0	19.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	max_norm_sres_ceis	0.1000	297	30	30	0.10101	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	max_norm_sres_ceis	0.2000	297	59	59	0.198653	6	0	6	22	0	1	0	9.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	max_norm_sres_ceis	0.3000	297	89	89	0.299663	6	0	6	22	0	1	0	14.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	max_norm_sres_ceis	0.4000	297	119	119	0.400673	6	0	6	22	0	1	0	19.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	rank_fusion_sres_ceis	0.1000	297	30	30	0.10101	6	0	6	22	0	1	0	5.0	0.937778	1	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	rank_fusion_sres_ceis	0.2000	297	59	59	0.198653	6	0	6	22	0	1	0	9.833333	0.841111	1	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	rank_fusion_sres_ceis	0.3000	297	89	89	0.299663	6	0	6	22	0	1	0	14.833333	0.741111	1	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	rank_fusion_sres_ceis	0.4000	297	119	119	0.400673	6	0	6	22	0	1	0	19.833333	0.641111	1	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	two_stage_sres_then_ceis	0.1000	297	30	30	0.10101	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	two_stage_sres_then_ceis	0.2000	297	59	59	0.198653	6	0	6	22	0	1	0	9.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	two_stage_sres_then_ceis	0.3000	297	89	89	0.299663	6	0	6	22	0	1	0	14.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	two_stage_sres_then_ceis	0.4000	297	119	119	0.400673	6	0	6	22	0	1	0	19.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	variant_count_only	0.1000	297	30	30	0.10101	6	5	1	22	16	1	1	30.0	5.0	51	5	6	worst_case_boundary
exclude_high_proxy_risk	audio_row	variant_count_only	0.2000	297	59	59	0.198653	6	2	4	22	8	1	0	14.75	4.0	125	2	5	worst_case_boundary
exclude_high_proxy_risk	audio_row	variant_count_only	0.3000	297	89	89	0.299663	6	2	4	22	6	1	0	22.25	4.0	125	2	5	worst_case_boundary
exclude_high_proxy_risk	audio_row	variant_count_only	0.4000	297	119	119	0.400673	6	2	4	22	6	1	0	29.75	4.0	125	2	5	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_top1_capped	0.1000	297	30	30	0.10101	6	0	6	22	0	1	0	5.0	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_top1_capped	0.2000	297	59	59	0.198653	6	0	6	22	0	1	0	9.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_top1_capped	0.3000	297	89	89	0.299663	6	0	6	22	0	1	0	14.833333	0.0	275	0	0	worst_case_boundary
exclude_high_proxy_risk	audio_row	ceis_top1_capped	0.4000	297	119	119	0.400673	6	0	6	22	0	1	0	19.833333	0.0	275	0	0	worst_case_boundary
exclude_metric_family_selected	audio_row	sres_total	0.1000	62	6	6	0.096774	6	5	1	22	16	1	1	6.0	345.0	6	5	6	worst_case_boundary
