scope	asr_run_id	target	metric	reviewed_model_samples	positive_rows	positive_rate	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
overall	ALL	human_decision_change_yes	wer	36	12	0.3333	0.8524	25.86	0.72	0.6923	0.75	9	4	3
overall	ALL	human_decision_change_yes	cer	36	12	0.3333	0.8559	20.41	0.72	0.6923	0.75	9	4	3
overall	ALL	human_decision_change_yes	sres_total	36	12	0.3333	0.941	210.0	0.8889	0.8	1.0	12	3	0
overall	ALL	human_decision_change_yes	ceis_max	36	12	0.3333	0.9635	5.0	0.8889	0.8	1.0	12	3	0
overall	ALL	human_decision_change_yes_or_uncertain	wer	36	12	0.3333	0.8524	25.86	0.72	0.6923	0.75	9	4	3
overall	ALL	human_decision_change_yes_or_uncertain	cer	36	12	0.3333	0.8559	20.41	0.72	0.6923	0.75	9	4	3
overall	ALL	human_decision_change_yes_or_uncertain	sres_total	36	12	0.3333	0.941	210.0	0.8889	0.8	1.0	12	3	0
overall	ALL	human_decision_change_yes_or_uncertain	ceis_max	36	12	0.3333	0.9635	5.0	0.8889	0.8	1.0	12	3	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes	wer	12	8	0.6667	0.5312	11.86	0.8421	0.7273	1.0	8	3	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes	cer	12	8	0.6667	0.5312	7.78	0.8421	0.7273	1.0	8	3	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes	sres_total	12	8	0.6667	0.7031	210.0	0.8889	0.8	1.0	8	2	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes	ceis_max	12	8	0.6667	0.875	5.0	0.8889	0.8	1.0	8	2	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes_or_uncertain	wer	12	8	0.6667	0.5312	11.86	0.8421	0.7273	1.0	8	3	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes_or_uncertain	cer	12	8	0.6667	0.5312	7.78	0.8421	0.7273	1.0	8	3	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes_or_uncertain	sres_total	12	8	0.6667	0.7031	210.0	0.8889	0.8	1.0	8	2	0
asr_run	breeze_asr25_base_high_stakes_300	human_decision_change_yes_or_uncertain	ceis_max	12	8	0.6667	0.875	5.0	0.8889	0.8	1.0	8	2	0
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes	wer	12	3	0.25	0.9259	43.33	0.8	1.0	0.6667	2	0	1
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes	cer	12	3	0.25	0.9259	32.63	0.8	1.0	0.6667	2	0	1
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes	sres_total	12	3	0.25	1.0	270.0	1.0	1.0	1.0	3	0	0
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes	ceis_max	12	3	0.25	1.0	5.0	1.0	1.0	1.0	3	0	0
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes_or_uncertain	wer	12	3	0.25	0.9259	43.33	0.8	1.0	0.6667	2	0	1
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes_or_uncertain	cer	12	3	0.25	0.9259	32.63	0.8	1.0	0.6667	2	0	1
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes_or_uncertain	sres_total	12	3	0.25	1.0	270.0	1.0	1.0	1.0	3	0	0
asr_run	breeze_asr25_lora_high_stakes_300	human_decision_change_yes_or_uncertain	ceis_max	12	3	0.25	1.0	5.0	1.0	1.0	1.0	3	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes	wer	12	1	0.0833	1.0	100.0	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes	cer	12	1	0.0833	1.0	126.74	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes	sres_total	12	1	0.0833	0.9545	270.0	0.6667	0.5	1.0	1	1	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes	ceis_max	12	1	0.0833	1.0	10.0	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes_or_uncertain	wer	12	1	0.0833	1.0	100.0	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes_or_uncertain	cer	12	1	0.0833	1.0	126.74	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes_or_uncertain	sres_total	12	1	0.0833	0.9545	270.0	0.6667	0.5	1.0	1	1	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	human_decision_change_yes_or_uncertain	ceis_max	12	1	0.0833	1.0	10.0	1.0	1.0	1.0	1	0	0
