omitted_review_row_index	remaining_clusters	scope	target	metric	reviewed_model_assessments	positive_model_assessments	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
1	29	overall	human_decision_change_yes	wer	87	15	0.7079	42.59	0.4737	0.3913	0.6	9	14	6
1	29	overall	human_decision_change_yes	cer	87	15	0.7356	16.42	0.459	0.3043	0.9333	14	32	1
1	29	overall	human_decision_change_yes	sres_total	87	15	0.8949	270.0	0.6341	0.5	0.8667	13	13	2
1	29	overall	human_decision_change_yes	ceis_max	87	15	0.9032	5.0	0.6122	0.4412	1.0	15	19	0
1	29	overall	human_decision_change_yes_or_uncertain	wer	87	15	0.7079	42.59	0.4737	0.3913	0.6	9	14	6
1	29	overall	human_decision_change_yes_or_uncertain	cer	87	15	0.7356	16.42	0.459	0.3043	0.9333	14	32	1
1	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	15	0.8949	270.0	0.6341	0.5	0.8667	13	13	2
1	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	15	0.9032	5.0	0.6122	0.4412	1.0	15	19	0
2	29	overall	human_decision_change_yes	wer	87	15	0.7167	42.59	0.4737	0.3913	0.6	9	14	6
2	29	overall	human_decision_change_yes	cer	87	15	0.7519	16.42	0.459	0.3043	0.9333	14	32	1
2	29	overall	human_decision_change_yes	sres_total	87	15	0.8949	270.0	0.6341	0.5	0.8667	13	13	2
2	29	overall	human_decision_change_yes	ceis_max	87	15	0.9032	5.0	0.6122	0.4412	1.0	15	19	0
2	29	overall	human_decision_change_yes_or_uncertain	wer	87	15	0.7167	42.59	0.4737	0.3913	0.6	9	14	6
2	29	overall	human_decision_change_yes_or_uncertain	cer	87	15	0.7519	16.42	0.459	0.3043	0.9333	14	32	1
2	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	15	0.8949	270.0	0.6341	0.5	0.8667	13	13	2
2	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	15	0.9032	5.0	0.6122	0.4412	1.0	15	19	0
3	29	overall	human_decision_change_yes	wer	87	15	0.6782	42.59	0.4324	0.3636	0.5333	8	14	7
3	29	overall	human_decision_change_yes	cer	87	15	0.7134	16.42	0.4483	0.3023	0.8667	13	30	2
3	29	overall	human_decision_change_yes	sres_total	87	15	0.8995	270.0	0.6341	0.5	0.8667	13	13	2
3	29	overall	human_decision_change_yes	ceis_max	87	15	0.9032	5.0	0.6122	0.4412	1.0	15	19	0
3	29	overall	human_decision_change_yes_or_uncertain	wer	87	15	0.6782	42.59	0.4324	0.3636	0.5333	8	14	7
