recorded_at	ok	status	handoff_status	preflight_status	rubric_status	checklist_status	selection_stratum	rows_in_batch	pending_rows_in_batch	model_assessments_in_batch	pending_model_assessments_in_batch	rows_missing_timing	latest_apply_status	error_keys	session_summary
2026-05-26T00:40:21+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T00:51:02+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T00:51:24+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T02:26:38+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T02:26:53+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T02:28:15+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T02:31:29+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T02:34:23+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T02:35:31+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T04:58:26+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T05:08:03+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	critical_or_high_risk_missed	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T09:25:45+08:00	True	reviewer_response_complete_ready_to_write	batch_ready_for_refresh	review_session_ready	rubric_ready	response_complete_ready_to_write	unsafe_downrouting	6	0	18	0	0	response_complete		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T09:26:00+08:00	True	reviewer_session_started	batch_ready_for_refresh	review_session_ready	rubric_ready	reviewer_action_ready	unsafe_downrouting	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T09:26:49+08:00	True	reviewer_session_started	batch_ready_for_refresh	review_session_ready	rubric_ready	reviewer_action_ready	unsafe_downrouting	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
2026-05-26T09:28:38+08:00	True	reviewer_session_started	reviewer_input_pending	review_session_ready	rubric_ready	reviewer_action_ready	unsafe_downrouting	6	6	18	18	6	response_pending		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_session_start_summary.json
