scope	asr_run_id	target	metric	rows	positive_rows	positive_rate	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
overall	ALL	label_flip	wer	900	35	0.0389	0.7629	42.59	0.2697	0.2222	0.3429	12	42	23
overall	ALL	label_flip	cer	900	35	0.0389	0.7676	37.5	0.2154	0.2333	0.2	7	23	28
overall	ALL	label_flip	sres_total	900	35	0.0389	1.0	210.0	1.0	1.0	1.0	35	0	0
overall	ALL	label_flip	sres_max	900	35	0.0389	1.0	75.0	1.0	1.0	1.0	35	0	0
overall	ALL	label_flip	ceis_max	900	35	0.0389	1.0	5.0	1.0	1.0	1.0	35	0	0
overall	ALL	unsafe_downrouting	wer	900	29	0.0322	0.7683	42.59	0.2892	0.2222	0.4138	12	42	17
overall	ALL	unsafe_downrouting	cer	900	29	0.0322	0.7739	37.5	0.2373	0.2333	0.2414	7	23	22
overall	ALL	unsafe_downrouting	sres_total	900	29	0.0322	0.9954	210.0	0.9062	0.8286	1.0	29	6	0
overall	ALL	unsafe_downrouting	sres_max	900	29	0.0322	0.9966	75.0	0.9062	0.8286	1.0	29	6	0
overall	ALL	unsafe_downrouting	ceis_max	900	29	0.0322	0.9971	5.0	0.9062	0.8286	1.0	29	6	0
overall	ALL	high_risk_missed	wer	900	6	0.0067	0.6871	58.14	0.25	0.2	0.3333	2	8	4
overall	ALL	high_risk_missed	cer	900	6	0.0067	0.7138	126.74	0.25	0.5	0.1667	1	1	5
overall	ALL	high_risk_missed	sres_total	900	6	0.0067	0.9826	210.0	0.2927	0.1714	1.0	6	29	0
overall	ALL	high_risk_missed	sres_max	900	6	0.0067	0.9838	75.0	0.2927	0.1714	1.0	6	29	0
overall	ALL	high_risk_missed	ceis_max	900	6	0.0067	0.9973	10.0	0.9091	1.0	0.8333	5	0	1
overall	ALL	critical_miss	wer	900	1	0.0011	0.5178	18.42	0.0046	0.0023	1.0	1	437	0
overall	ALL	critical_miss	cer	900	1	0.0011	0.5918	15.69	0.0054	0.0027	1.0	1	367	0
overall	ALL	critical_miss	sres_total	900	1	0.0011	0.9872	285.0	0.1176	0.0625	1.0	1	15	0
overall	ALL	critical_miss	sres_max	900	1	0.0011	0.9811	75.0	0.0556	0.0286	1.0	1	34	0
overall	ALL	critical_miss	ceis_max	900	1	0.0011	1.0	15.0	1.0	1.0	1.0	1	0	0
overall	ALL	over_escalation	wer	900	6	0.0067	0.7204	23.19	0.0351	0.0179	1.0	6	330	0
overall	ALL	over_escalation	cer	900	6	0.0067	0.7206	22.61	0.0319	0.0165	0.5	3	179	3
