asr_run_id	risk_atom_type	variant_rows	sample_count	unstable_variant_rows	affected_sample_count	unstable_variant_rate	total_ceis_component	max_ceis_component
breeze_asr25_base_high_stakes_300	action	263	263	22	22	0.0837	135.0	15.0
breeze_asr25_base_high_stakes_300	actor	235	235	13	13	0.0553	52.0	4.0
breeze_asr25_base_high_stakes_300	amount	215	215	20	20	0.093	120.0	15.0
breeze_asr25_base_high_stakes_300	negation	138	138	13	13	0.0942	85.0	15.0
breeze_asr25_base_high_stakes_300	scam_pattern	253	253	19	19	0.0751	96.0	12.0
breeze_asr25_lora_high_stakes_300	action	263	263	9	9	0.0342	45.0	5.0
breeze_asr25_lora_high_stakes_300	actor	236	236	8	8	0.0339	32.0	4.0
breeze_asr25_lora_high_stakes_300	amount	214	214	8	8	0.0374	40.0	5.0
breeze_asr25_lora_high_stakes_300	negation	137	137	5	5	0.0365	25.0	5.0
breeze_asr25_lora_high_stakes_300	scam_pattern	255	255	7	7	0.0275	28.0	4.0
breeze_asr25_partial_encoder_high_stakes_300	action	262	262	4	4	0.0153	25.0	10.0
breeze_asr25_partial_encoder_high_stakes_300	actor	234	234	4	4	0.0171	20.0	8.0
breeze_asr25_partial_encoder_high_stakes_300	amount	210	210	3	3	0.0143	20.0	10.0
breeze_asr25_partial_encoder_high_stakes_300	negation	130	130	2	2	0.0154	10.0	5.0
breeze_asr25_partial_encoder_high_stakes_300	scam_pattern	253	253	3	3	0.0119	16.0	8.0
