omitted_review_row_index	remaining_clusters	policy	model_assessments	unsafe_downrouting_count	high_risk_missed_count	critical_miss_count	severe_missed_count	triggered_count	recovery_budget_rate	machine_abstention_count	exact_recovered_error_count
1	29	no_recovery	87	28	5	0	5	0	0.0	0	0
1	29	confidence_only_trigger	87	28	5	0	5	0	0.0	0	0
1	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
1	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
1	29	ceis_ensemble_arbitration	87	23	0	0	0	44	0.5057	15	5
2	29	no_recovery	87	28	5	1	6	0	0.0	0	0
2	29	confidence_only_trigger	87	28	5	1	6	0	0.0	0	0
2	29	sres_triggered_recovery	87	24	0	0	0	34	0.3908	0	4
2	29	ceis_triggered_conservative_action	87	24	0	0	0	34	0.3908	0	4
2	29	ceis_ensemble_arbitration	87	24	0	0	0	44	0.5057	15	4
3	29	no_recovery	87	28	5	1	6	0	0.0	0	0
3	29	confidence_only_trigger	87	28	5	1	6	0	0.0	0	0
3	29	sres_triggered_recovery	87	24	0	0	0	34	0.3908	0	4
3	29	ceis_triggered_conservative_action	87	24	0	0	0	34	0.3908	0	4
3	29	ceis_ensemble_arbitration	87	24	0	0	0	44	0.5057	15	4
4	29	no_recovery	87	28	5	1	6	0	0.0	0	0
4	29	confidence_only_trigger	87	28	5	1	6	0	0.0	0	0
4	29	sres_triggered_recovery	87	24	0	0	0	34	0.3908	0	4
4	29	ceis_triggered_conservative_action	87	24	0	0	0	34	0.3908	0	4
4	29	ceis_ensemble_arbitration	87	24	0	0	0	44	0.5057	15	4
5	29	no_recovery	87	28	5	1	6	0	0.0	0	0
5	29	confidence_only_trigger	87	28	5	1	6	0	0.0	0	0
5	29	sres_triggered_recovery	87	24	0	0	0	34	0.3908	0	4
5	29	ceis_triggered_conservative_action	87	24	0	0	0	34	0.3908	0	4
5	29	ceis_ensemble_arbitration	87	24	0	0	0	44	0.5057	15	4
6	29	no_recovery	87	28	5	1	6	0	0.0	0	0
6	29	confidence_only_trigger	87	28	5	1	6	0	0.0	0	0
6	29	sres_triggered_recovery	87	24	0	0	0	34	0.3908	0	4
6	29	ceis_triggered_conservative_action	87	24	0	0	0	34	0.3908	0	4
6	29	ceis_ensemble_arbitration	87	24	0	0	0	44	0.5057	15	4
7	29	no_recovery	87	26	6	1	7	0	0.0	0	0
7	29	confidence_only_trigger	87	26	6	1	7	0	0.0	0	0
7	29	sres_triggered_recovery	87	21	0	0	0	32	0.3678	0	5
7	29	ceis_triggered_conservative_action	87	21	0	0	0	32	0.3678	0	5
7	29	ceis_ensemble_arbitration	87	21	0	0	0	44	0.5057	18	5
8	29	no_recovery	87	28	6	1	7	0	0.0	0	0
8	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
8	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
8	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
8	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
9	29	no_recovery	87	28	6	1	7	0	0.0	0	0
9	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
9	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
9	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
9	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
10	29	no_recovery	87	27	6	1	7	0	0.0	0	0
10	29	confidence_only_trigger	87	27	6	1	7	0	0.0	0	0
10	29	sres_triggered_recovery	87	22	0	0	0	33	0.3793	0	5
10	29	ceis_triggered_conservative_action	87	22	0	0	0	33	0.3793	0	5
10	29	ceis_ensemble_arbitration	87	22	0	0	0	45	0.5172	18	5
11	29	no_recovery	87	28	6	1	7	0	0.0	0	0
11	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
11	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
11	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
11	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
12	29	no_recovery	87	28	6	1	7	0	0.0	0	0
12	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
12	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
12	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
12	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
13	29	no_recovery	87	28	6	1	7	0	0.0	0	0
13	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
13	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
13	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
13	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
14	29	no_recovery	87	28	6	1	7	0	0.0	0	0
14	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
14	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
14	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
14	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
15	29	no_recovery	87	28	6	1	7	0	0.0	0	0
15	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
15	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
15	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
15	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
16	29	no_recovery	87	28	6	1	7	0	0.0	0	0
16	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
16	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
16	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
16	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
17	29	no_recovery	87	27	6	1	7	0	0.0	0	0
17	29	confidence_only_trigger	87	27	6	1	7	0	0.0	0	0
17	29	sres_triggered_recovery	87	22	0	0	0	33	0.3793	0	5
17	29	ceis_triggered_conservative_action	87	22	0	0	0	33	0.3793	0	5
17	29	ceis_ensemble_arbitration	87	22	0	0	0	45	0.5172	18	5
18	29	no_recovery	87	26	6	1	7	0	0.0	0	0
18	29	confidence_only_trigger	87	26	6	1	7	0	0.0	0	0
18	29	sres_triggered_recovery	87	21	0	0	0	32	0.3678	0	5
18	29	ceis_triggered_conservative_action	87	21	0	0	0	32	0.3678	0	5
18	29	ceis_ensemble_arbitration	87	21	0	0	0	44	0.5057	18	5
19	29	no_recovery	87	27	6	1	7	0	0.0	0	0
19	29	confidence_only_trigger	87	27	6	1	7	0	0.0	0	0
19	29	sres_triggered_recovery	87	22	0	0	0	33	0.3793	0	5
19	29	ceis_triggered_conservative_action	87	22	0	0	0	33	0.3793	0	5
19	29	ceis_ensemble_arbitration	87	22	0	0	0	45	0.5172	18	5
20	29	no_recovery	87	28	6	1	7	0	0.0	0	0
20	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
20	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
20	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
20	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
21	29	no_recovery	87	28	6	1	7	0	0.0	0	0
21	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
21	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
21	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
21	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
22	29	no_recovery	87	28	6	1	7	0	0.0	0	0
22	29	confidence_only_trigger	87	28	6	1	7	0	0.0	0	0
22	29	sres_triggered_recovery	87	23	0	0	0	34	0.3908	0	5
22	29	ceis_triggered_conservative_action	87	23	0	0	0	34	0.3908	0	5
22	29	ceis_ensemble_arbitration	87	23	0	0	0	46	0.5287	18	5
23	29	no_recovery	87	29	6	1	7	0	0.0	0	0
23	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
23	29	sres_triggered_recovery	87	24	0	0	0	35	0.4023	0	5
23	29	ceis_triggered_conservative_action	87	24	0	0	0	35	0.4023	0	5
23	29	ceis_ensemble_arbitration	87	24	0	0	0	47	0.5402	18	5
24	29	no_recovery	87	29	6	1	7	0	0.0	0	0
24	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
24	29	sres_triggered_recovery	87	24	0	0	0	35	0.4023	0	5
24	29	ceis_triggered_conservative_action	87	24	0	0	0	35	0.4023	0	5
24	29	ceis_ensemble_arbitration	87	24	0	0	0	47	0.5402	18	5
25	29	no_recovery	87	29	6	1	7	0	0.0	0	0
25	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
25	29	sres_triggered_recovery	87	24	0	0	0	35	0.4023	0	5
25	29	ceis_triggered_conservative_action	87	24	0	0	0	35	0.4023	0	5
25	29	ceis_ensemble_arbitration	87	24	0	0	0	47	0.5402	18	5
26	29	no_recovery	87	29	6	1	7	0	0.0	0	0
26	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
26	29	sres_triggered_recovery	87	24	0	0	0	35	0.4023	0	5
26	29	ceis_triggered_conservative_action	87	24	0	0	0	35	0.4023	0	5
26	29	ceis_ensemble_arbitration	87	24	0	0	0	47	0.5402	18	5
27	29	no_recovery	87	29	6	1	7	0	0.0	0	0
27	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
27	29	sres_triggered_recovery	87	24	0	0	0	33	0.3793	0	5
27	29	ceis_triggered_conservative_action	87	24	0	0	0	33	0.3793	0	5
27	29	ceis_ensemble_arbitration	87	24	0	0	0	45	0.5172	18	5
28	29	no_recovery	87	29	6	1	7	0	0.0	0	0
28	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
28	29	sres_triggered_recovery	87	24	0	0	0	32	0.3678	0	5
28	29	ceis_triggered_conservative_action	87	24	0	0	0	32	0.3678	0	5
28	29	ceis_ensemble_arbitration	87	24	0	0	0	44	0.5057	18	5
29	29	no_recovery	87	29	6	1	7	0	0.0	0	0
29	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
29	29	sres_triggered_recovery	87	24	0	0	0	34	0.3908	0	5
29	29	ceis_triggered_conservative_action	87	24	0	0	0	34	0.3908	0	5
29	29	ceis_ensemble_arbitration	87	24	0	0	0	46	0.5287	18	5
30	29	no_recovery	87	29	6	1	7	0	0.0	0	0
30	29	confidence_only_trigger	87	29	6	1	7	0	0.0	0	0
30	29	sres_triggered_recovery	87	24	0	0	0	35	0.4023	0	5
30	29	ceis_triggered_conservative_action	87	24	0	0	0	35	0.4023	0	5
30	29	ceis_ensemble_arbitration	87	24	0	0	0	47	0.5402	18	5
